doc_id,hotel_name,city,country,zip,num_reviews,overall_ratingsource
china_beijing_holiday_inn_central_plaza,holiday inn central plaza,beijing,China,100053,247,4.480582524
china_beijing_hilton_beijing_wangfujing,hilton beijing wangfujing,beijing,China,100006,74,4.751724138
china_beijing_hotel_g,hotel g,beijing,China,100020,110,4.625
china_beijing_the_regent_beijing,the regent beijing,beijing,China,100005,111,4.610416667
china_beijing_the_st_regis_beijing,the st regis beijing,beijing,China,100020,89,4.556923077
china_beijing_park_plaza_beijing_wangfujing,park plaza beijing wangfujing,beijing,China,100005,280,4.622033898
china_beijing_the_ritz_carlton_huamao_center,the ritz carlton huamao center,beijing,China,100025,33,4.6
china_beijing_the_opposite_house,the opposite house,beijing,China,100027,32,4.74
china_beijing_double_happiness_courtyard_hotel,double happiness courtyard hotel,beijing,China,100010,35,4.460606061
china_beijing_intercontinental_financial_street_beijing,intercontinental financial street beijing,beijing,China,100140,69,4.468852459
china_beijing_michael_s_house_in_beijing,michael s house in beijing,beijing,China,100088,42,4.525
china_beijing_spring_garden_courtyard_hotel,spring garden courtyard hotel,beijing,China,100034,20,4.522222222
china_beijing_grand_hyatt_beijing,grand hyatt beijing,beijing,China,100738,201,4.461038961
china_beijing_raffles_beijing_hotel,raffles beijing hotel,beijing,China,100004,102,4.536956522
china_beijing_courtyard_7,courtyard 7,beijing,China,100009,14,4.64
china_beijing_kellys_courtyard,kellys courtyard,beijing,China,100034,8,4.725
china_beijing_the_ritz_carlton_beijing_financial_street,the ritz carlton beijing financial street,beijing,China,100032,30,4.592307692
china_beijing_templeside_deluxe_hutong_house_hotel,templeside deluxe hutong house hotel,beijing,China,100034,8,4.75
china_beijing_the_peninsula_beijing,the peninsula beijing,beijing,China,100006,216,4.444776119
china_beijing_sofitel_wanda_beijing,sofitel wanda beijing,beijing,China,100022,48,4.330232558
china_beijing_china_world_hotel,china world hotel,beijing,China,100004,79,4.211320755
china_beijing_legendale_hotel_beijing,legendale hotel beijing,beijing,China,100005,2,4.8
china_beijing_marriott_hotel_beijing_city_wall,marriott hotel beijing city wall,beijing,China,100005,33,4.266666667
china_beijing_intercontinental_beijing_beichen,intercontinental beijing beichen,beijing,China,100105,18,4.494117647
china_beijing_beijing_sihe_courtyard_hotel,beijing sihe courtyard hotel,beijing,China,100010,75,4.31641791
china_beijing_kapok_hotel,kapok hotel,beijing,China,100006,113,4.312380952
china_beijing_bamboo_garden_hotel,bamboo garden hotel,beijing,China,100009,54,4.358974359
china_beijing_hotel_new_otani_chang_fu_gong,hotel new otani chang fu gong,beijing,China,100022,35,4.103448276
china_beijing_pullman_beijing_west_wanda,pullman beijing west wanda,beijing,China,100040,10,4.666666667
china_beijing_renaissance_beijing_capital_hotel,renaissance beijing capital hotel,beijing,China,100022,20,4.55
china_beijing_jw_marriott_hotel_beijing,jw marriott hotel beijing,beijing,China,100025,47,4.276923077
china_beijing_shangri_la_hotel_beijing,shangri la hotel beijing,beijing,China,100089,50,3.914285714
china_beijing_crowne_plaza_hotel_beijing,crowne plaza hotel beijing,beijing,China,100006,149,4.340186916
china_beijing_the_westin_beijing_financial_street,the westin beijing financial street,beijing,China,100032,89,4.320481928
china_beijing_hilton_beijing,hilton beijing,beijing,China,100027,67,4.28627451
china_beijing_crowne_plaza_hotel_zhongguancun,crowne plaza hotel zhongguancun,beijing,China,100086,9,4.514285714
china_beijing_the_emperor,the emperor,beijing,China,100006,17,4.271428571
china_beijing_shangri_la_kerry_centre_hotel,shangri la kerry centre hotel,beijing,China,100020,56,4.077777778
china_beijing_sunworld_hotel_beijing,sunworld hotel beijing,beijing,China,100006,32,4.344444444
china_beijing_jade_garden_hotel,jade garden hotel,beijing,China,100006,14,4.15
china_beijing_grand_hotel_beijing,grand hotel beijing,beijing,China,100006,38,4.3
china_beijing_the_westin_beijing_chaoyang,the westin beijing chaoyang,beijing,China,100027,28,4.141666667
china_beijing_orange_hotel_beijing_asia_games_village,orange hotel beijing asia games village,beijing,China,100029,5,4.35
china_beijing_holiday_inn_express_beijing_temple_of_heaven,holiday inn express beijing temple of heaven,beijing,China,100050,32,4.037037037
china_beijing_marco_polo_parkside_hotel,marco polo parkside hotel,beijing,China,100101,15,4.357142857
china_beijing_xinhai_jinjiang_hotel,xinhai jinjiang hotel,beijing,China,100006,16,4.228571429
china_beijing_aloft_beijing_haidian,aloft beijing haidian,beijing,China,100097,7,4.033333333
china_beijing_hans_royal_garden_hotel,hans royal garden hotel,beijing,China,10009,3,4.466666667
china_beijing_novotel_peace_hotel,novotel peace hotel,beijing,China,100006,143,3.925663717
china_beijing_the_aman_at_summer_palace,the aman at summer palace,beijing,China,100091,5,4.72
china_beijing_ascott_beijing,ascott beijing,beijing,China,100022,28,4.175
china_beijing_prime_hotel,prime hotel,beijing,China,100006,76,4.194285714
china_beijing_beijing_jade_international_youth_hostel,beijing jade international youth hostel,beijing,China,100006,15,4.323076923
china_beijing_courtyard_by_marriott_beijing_northeast,courtyard by marriott beijing northeast,beijing,China,100102,12,4.266666667
china_beijing_beijing_huang_yuan_hotel,beijing huang yuan hotel,beijing,China,100089,1,3.4
china_beijing_bohao_radegast_hotel_beijing,bohao radegast hotel beijing,beijing,China,100026,11,4.454545455
china_beijing_grand_mercure_hotel_xidan,grand mercure hotel xidan,beijing,China,100031,99,3.86031746
china_beijing_empark_grand_hotel,empark grand hotel,beijing,China,100097,5,4.45
china_beijing_days_inn_forbidden_city_beijing,days inn forbidden city beijing,beijing,China,10006,113,4.09
china_beijing_jianguo_hotel_qianmen_beijing,jianguo hotel qianmen beijing,beijing,China,100050,27,3.926315789
china_beijing_crowne_plaza_park_view_wuzhou,crowne plaza park view wuzhou,beijing,China,100101,28,3.942857143
china_beijing_beijing_hotel,beijing hotel,beijing,China,100004,33,3.247619048
china_beijing_doubletree_by_hilton_beijing,doubletree by hilton beijing,beijing,China,100055,27,4.430769231
china_beijing_kempinski_hotel_beijing_lufthansa_center,kempinski hotel beijing lufthansa center,beijing,China,100125,28,3.875
china_beijing_capital_hotel_beijing,capital hotel beijing,beijing,China,100006,81,3.927272727
china_beijing_junzhan_hotel,junzhan hotel,beijing,China,100011,-1,-1
china_beijing_hutong_inn_beijing_culture_hotel,hutong inn beijing culture hotel,beijing,China,100009,1,5
china_beijing_holiday_inn_temple_of_heaven,holiday inn temple of heaven,beijing,China,100075,35,4.022222222
china_beijing_jian_guo_hotel,jian guo hotel,beijing,China,100021,29,4.273684211
china_beijing_hotel_cote_cour_beijing,hotel cote cour beijing,beijing,China,100010,31,4.585185185
china_beijing_renaissance_beijing_hotel,renaissance beijing hotel,beijing,China,100027,32,4.3
china_beijing_jingmingyuan_hotel,jingmingyuan hotel,beijing,China,100093,-1,-1
china_beijing_yi_hai_business_hotel,yi hai business hotel,beijing,China,100081,1,4.4
china_beijing_the_quomolangma_hotel_beijing_china,the quomolangma hotel beijing china,beijing,China,100009,-1,-1
china_beijing_hejia_inn_beijing_anwai,hejia inn beijing anwai,beijing,China,100011,-1,-1
china_beijing_marriott_executive_apartments_sandalwood,marriott executive apartments sandalwood,beijing,China,100123,2,4.6
